City,AverageTemperature,year,month
Allentown,0.3790000000000001,2003,12
Allentown,-6.3249999999999975,2004,1
Allentown,-1.332,2004,2
Allentown,4.525,2004,3
Allentown,10.057,2004,4
Allentown,17.8,2004,5
Allentown,19.761,2004,6
Allentown,21.946,2004,7
Allentown,21.771,2004,8
Allentown,18.843,2004,9
Allentown,10.96,2004,10
Allentown,6.682,2004,11
Allentown,-0.014000000000000012,2004,12
Allentown,-3.611,2005,1
Allentown,-0.609,2005,2
Allentown,1.125,2005,3
Allentown,10.633,2005,4
Allentown,13.267000000000001,2005,5
Allentown,22.169,2005,6
Allentown,23.704,2005,7
Allentown,23.941,2005,8
Allentown,20.238,2005,9
Allentown,12.058,2005,10
Allentown,7.019,2005,11
Allentown,-1.757,2005,12
Allentown,1.608,2006,1
Allentown,-0.5650000000000002,2006,2
Allentown,3.776,2006,3
Allentown,10.709,2006,4
Allentown,15.637,2006,5
Allentown,20.445,2006,6
Allentown,24.165,2006,7
Allentown,22.42,2006,8
Allentown,16.945999999999998,2006,9
Allentown,10.811,2006,10
Allentown,8.418,2006,11
Allentown,3.861,2006,12
Allentown,0.4119999999999999,2007,1
Allentown,-4.713,2007,2
Allentown,2.947,2007,3
Allentown,8.02,2007,4
Allentown,16.677,2007,5
Allentown,20.868,2007,6
Allentown,22.295,2007,7
Allentown,22.063,2007,8
Allentown,19.0,2007,9
Allentown,15.222,2007,10
Allentown,4.831,2007,11
Allentown,-0.09399999999999996,2007,12
Allentown,-0.573,2008,1
Allentown,-0.675,2008,2
Allentown,3.47,2008,3
Allentown,10.943,2008,4
Allentown,13.64,2008,5
Allentown,21.831,2008,6
Allentown,23.693,2008,7
Allentown,20.887,2008,8
Allentown,18.676,2008,9
Allentown,10.347999999999999,2008,10
Allentown,5.132999999999999,2008,11
Allentown,0.3270000000000001,2008,12
Allentown,-5.359999999999999,2009,1
Allentown,-0.3720000000000001,2009,2
Allentown,3.5789999999999997,2009,3
Allentown,10.478,2009,4
Allentown,15.447000000000001,2009,5
Allentown,19.058,2009,6
Allentown,21.103,2009,7
Allentown,22.769,2009,8
Allentown,17.043,2009,9
Allentown,10.364,2009,10
Allentown,8.217,2009,11
Allentown,-0.624,2009,12
Allentown,-2.359,2010,1
Allentown,-1.456,2010,2
Allentown,6.715,2010,3
Allentown,12.076,2010,4
Allentown,17.119,2010,5
Allentown,21.943,2010,6
Allentown,24.789,2010,7
Allentown,22.67,2010,8
Allentown,19.172,2010,9
Allentown,11.911,2010,10
Allentown,5.876,2010,11
Allentown,-2.165,2010,12
Allentown,-4.463,2011,1
Allentown,-1.2440000000000002,2011,2
Allentown,3.474,2011,3
Allentown,10.555,2011,4
Allentown,16.917,2011,5
Allentown,21.032,2011,6
Allentown,24.564,2011,7
Allentown,22.13,2011,8
Allentown,19.301,2011,9
Allentown,12.001,2011,10
Allentown,8.013,2011,11
Allentown,2.987,2011,12
Allentown,-0.040999999999999925,2012,1
Allentown,2.185,2012,2
Allentown,8.734,2012,3
Allentown,10.324000000000002,2012,4
Allentown,17.779,2012,5
Allentown,20.165,2012,6
Allentown,24.479,2012,7
Allentown,22.731,2012,8
Allentown,18.177,2012,9
Allentown,12.436,2012,10
Allentown,4.103,2012,11
Allentown,2.5860000000000003,2012,12
Allentown,-0.968,2013,1
Allentown,-1.3650000000000002,2013,2
Allentown,2.518,2013,3
Allentown,9.723,2013,4
Allentown,15.544,2013,5
Allentown,20.892,2013,6
Allentown,24.722,2013,7
Allentown,21.001,2013,8
Allentown,17.407999999999998,2013,9
Amarillo,5.859999999999999,2000,1
Amarillo,9.504,2000,2
Amarillo,11.583,2000,3
Amarillo,15.598,2000,4
Amarillo,22.614,2000,5
Amarillo,23.523000000000003,2000,6
Amarillo,27.499,2000,7
Amarillo,28.209,2000,8
Amarillo,23.997,2000,9
Amarillo,16.832,2000,10
Amarillo,6.103,2000,11
Amarillo,1.3440000000000003,2000,12
Amarillo,2.497,2001,1
Amarillo,6.057,2001,2
Amarillo,8.34,2001,3
Amarillo,17.203,2001,4
Amarillo,20.572000000000006,2001,5
Amarillo,26.235,2001,6
Amarillo,29.631999999999998,2001,7
Amarillo,26.799,2001,8
Amarillo,22.058000000000003,2001,9
Amarillo,16.177,2001,10
Amarillo,11.72,2001,11
Amarillo,5.94,2001,12
Amarillo,5.291,2002,1
Amarillo,5.234,2002,2
Amarillo,8.373000000000001,2002,3
Amarillo,16.13,2002,4
Amarillo,20.306,2002,5
Amarillo,25.811,2002,6
Amarillo,26.428,2002,7
Amarillo,27.158,2002,8
Amarillo,22.429000000000002,2002,9
Amarillo,13.716,2002,10
Amarillo,8.450999999999999,2002,11
Amarillo,4.559,2002,12
Amarillo,5.058,2003,1
Amarillo,4.59,2003,2
Amarillo,10.844000000000001,2003,3
Amarillo,16.407,2003,4
Amarillo,21.148000000000003,2003,5
Amarillo,22.97300000000001,2003,6
Amarillo,28.054,2003,7
Amarillo,27.853,2003,8
Amarillo,21.176,2003,9
Amarillo,17.695,2003,10
Amarillo,10.128,2003,11
Amarillo,6.2,2003,12
Amarillo,5.154999999999999,2004,1
